bodega_declarada,norm,tiene_datos
administracion  suministros piscilago,ADMINISTRACION SUMINISTROS PISCILAGO,False
aire libre suministros piscilago,AIRE LIBRE SUMINISTROS PISCILAGO,False
almacen general,ALMACEN GENERAL,False
autoservicios cascada,AUTOSERVICIOS CASCADA,False
autoservicios las fuentes,AUTOSERVICIOS LAS FUENTES,False
autoservicio mirador,AUTOSERVICIO MIRADOR,False
bodega de recreacion suministros,BODEGA DE RECREACION SUMINISTROS,False
cafeteria acuario suministros,CAFETERIA ACUARIO SUMINISTROS,False
caf. Velas suministros,CAF. VELAS SUMINISTROS,False
cafeteria acuario suministros,CAFETERIA ACUARIO SUMINISTROS,False
caf.velas,CAF.VELAS,False
cocina mirador suministros,COCINA MIRADOR SUMINISTROS,False
cocina principal suministros,COCINA PRINCIPAL SUMINISTROS,False
enfermeria suministros,ENFERMERIA SUMINISTROS,False
kiosco 2 suministros,KIOSCO 2 SUMINISTROS,False
kiosco 3 suministros,KIOSCO 3 SUMINISTROS,False
kiosco 1 piscilago,KIOSCO 1 PISCILAGO,False
kiosco 2 piscilago,KIOSCO 2 PISCILAGO,False
kiosco 3 piscilago,KIOSCO 3 PISCILAGO,False
kiosco bosque suministros,KIOSCO BOSQUE SUMINISTROS,False
kiosco bosques,KIOSCO BOSQUES,False
kiosco cascada suministros,KIOSCO CASCADA SUMINISTROS,False
kiosco parqueadero piscilago,KIOSCO PARQUEADERO PISCILAGO,False
kiosco paqueadero suministros piscilago,KIOSCO PAQUEADERO SUMINISTROS PISCILAGO,False
movil 3 oasis suministros,MOVIL 3 OASIS SUMINISTROS,False
movil 4 taquilla suministros,MOVIL 4 TAQUILLA SUMINISTROS,False
movil fonda suministros,MOVIL FONDA SUMINISTROS,False
movil mirador suministros,MOVIL MIRADOR SUMINISTROS,False
movil fonda,MOVIL FONDA,False
movil mirador,MOVIL MIRADOR,False
movil oasis,MOVIL OASIS,False
movil taquilla,MOVIL TAQUILLA,False
panaderia,PANADERIA,False
panaderia suministros,PANADERIA SUMINISTROS,False
piscina suministros,PISCINA SUMINISTROS,False
rest. Nutrias suministros,REST. NUTRIAS SUMINISTROS,False
restaurante cascada suministros,RESTAURANTE CASCADA SUMINISTROS,False
rest. Fonda,REST. FONDA,False
restaurante fonda suministros,RESTAURANTE FONDA SUMINISTROS,False
restaurante nutrias,RESTAURANTE NUTRIAS,False
suministro aseo,SUMINISTRO ASEO,False
tienda general suministros,TIENDA GENERAL SUMINISTROS,False
tienda mirador suministros,TIENDA MIRADOR SUMINISTROS,False
tienda principal suministros,TIENDA PRINCIPAL SUMINISTROS,False
tienda taquilla suministros,TIENDA TAQUILLA SUMINISTROS,False
zoologico suministros,ZOOLOGICO SUMINISTROS,False
zoologico piscilago,ZOOLOGICO PISCILAGO,False
Tienda souvenir pisciloca suministros,TIENDA SOUVENIR PISCILOCA SUMINISTROS,False
