bodega_id,sku,nombre_raw,nombre_norm,unidad
almacen_suministros,97503113, CALDERO RECORT TAPA 50X60 CM,CALDERO RECORT TAPA 50X60 CM,Unidad
almacen_suministros,95026919, CAZUELA 16 ONZ,CAZUELA 16 ONZ,Unidad
almacen_suministros,95004459, CINTA SELLAMIENTO 48 MM X 50 MTS,CINTA SELLAMIENTO 48 MM X 50 MTS,Unidad
almacen_suministros,124791, IBUPROFENO 800MG TNR CJX50 GEF,IBUPROFENO 800MG TNR CJX50 GEF,Unidad
almacen_suministros,95026263, PLATO BLANCO CUADRADO,PLATO BLANCO CUADRADO,Unidad
almacen_suministros,95026266, PLATO BLANCO RECTANGULAR,PLATO BLANCO RECTANGULAR,Unidad
almacen_suministros,97502964, BALDE PLASTICO 10 LTS,BALDE PLASTICO 10 LTS,Unidad
almacen_suministros,97502914, CUCHARA PORCIONADORA DE 6 ONZAS,CUCHARA PORCIONADORA DE 6 ONZAS,Unidad
almacen_suministros,97503241,ABRELATAS MARIPOSA,ABRELATAS MARIPOSA,Unidad
almacen_suministros,95007905,ACEITE MECHERO CALENTA. SAMOVAR X 3750CC,ACEITE MECHERO CALENTA. SAMOVAR X 3750CC,Unidad
almacen_suministros,374215,ACETAMINOFEN 150MG/5ML SHJ FCOX90ML LFC,ACETAMINOFEN 150MG/5ML SHJ FCOX90ML LFC,Unidad
almacen_suministros,2131,ACETAMINOFEN 500 MG TAB CJX 100,ACETAMINOFEN 500 MG TAB CJX 100,Unidad
almacen_suministros,95001202,ACETATO TAMANO CARTA,ACETATO TAMANO CARTA,Unidad
almacen_suministros,95027285,AFVT) ANTIMICROBIANO FRUTAS Y VERDURAS,AFVT) ANTIMICROBIANO FRUTAS Y VERDURAS,Unidad
almacen_suministros,95023660,ALCOHOL ANTISEPTICO AL 70% X 500 ML,ALCOHOL ANTISEPTICO AL 70% X 500 ML,Unidad
almacen_suministros,95023788,ALCOHOL GLICERINADO 500ML CON VALVULA,ALCOHOL GLICERINADO 500ML CON VALVULA,Unidad
almacen_suministros,80029519,ALEVINOS KG,ALEVINOS KG,Kilogram
